Fecha,Equipo Local,Marcador,Equipo Visitante,Tarjeta Roja Local,Tarjeta Roja Visitante
30-03-2024,Deportivo Pereira,1 - 2,Atlético Bucaramanga,0,0
05-04-2024,Atlético Bucaramanga,2 - 1,Deportivo Cali,0,0
13-04-2024,Independiente Medellín,1 - 0,Atlético Bucaramanga,0,0
19-04-2024,Atlético Bucaramanga,2 - 3,Boyacá Chicó,0,0
21-04-2024,Fortaleza CEIF,0 - 2,Atlético Bucaramanga,0,0
27-04-2024,Atlético Bucaramanga,1 - 0,Alianza Petrolera,0,0
03-05-2024,Deportivo Pereira,1 - 0,Atlético Bucaramanga,0,0
10-05-2024,Atlético Bucaramanga,0 - 0,Junior,0,0
19-05-2024,Millonarios,0 - 1,Atlético Bucaramanga,0,0
21-05-2024,Atlético Bucaramanga,0 - 0,Millonarios,0,0
25-05-2024,Junior,1 - 0,Atlético Bucaramanga,0,0
01-06-2024,Atlético Bucaramanga,3 - 1,Deportivo Pereira,0,0
08-06-2024,Atlético Bucaramanga,1 - 0,Santa Fe,0,0
15-06-2024,Santa Fe,3 - 2,Atlético Bucaramanga,0,0
17-07-2024,Atlético Bucaramanga,1 - 0,Junior,0,0
20-07-2024,Millonarios,1 - 0,Atlético Bucaramanga,0,0
27-07-2024,Atlético Bucaramanga,0 - 0,Jaguares de Córdoba,0,0
07-08-2024,Atlético Bucaramanga,0 - 1,Santa Fe,2,0
10-08-2024,Once Caldas,2 - 1,Atlético Bucaramanga,0,0
17-08-2024,Atlético Bucaramanga,1 - 2,América de Cali,0,0
23-08-2024,Deportivo Pasto,1 - 2,Atlético Bucaramanga,0,0
31-08-2024,Atlético Bucaramanga,0 - 2,Deportes Tolima,0,0
12-09-2024,Patriotas Boyacá,1 - 2,Atlético Bucaramanga,0,0
23-09-2024,Atlético Bucaramanga,1 - 0,Atlético Nacional,0,0
27-09-2024,La Equidad,0 - 1,Atlético Bucaramanga,0,0
04-10-2024,Envigado,0 - 0,Atlético Bucaramanga,0,0
12-10-2024,Atlético Bucaramanga,1 - 1,Deportivo Pereira,0,0
20-10-2024,Rionegro Águilas,1 - 3,Atlético Bucaramanga,0,0
26-10-2024,Deportivo Cali,1 - 0,Atlético Bucaramanga,0,0
03-11-2024,Atlético Bucaramanga,2 - 3,Independiente Medellín,0,0
05-11-2024,Boyacá Chicó,1 - 1,Atlético Bucaramanga,0,0
09-11-2024,Atlético Bucaramanga,1 - 0,Fortaleza CEIF,0,0
14-11-2024,Alianza Petrolera,0 - 4,Atlético Bucaramanga,0,0
21-01-2024,Atlético Nacional,3 - 1,Alianza Petrolera,0,0
27-01-2024,América de Cali,4 - 1,Atlético Nacional,0,0
31-01-2024,Atlético Nacional,1 - 1,Once Caldas,0,0
03-02-2024,Rionegro Águilas,0 - 3,Atlético Nacional,0,0
08-02-2024,Patriotas Boyacá,0 - 0,Atlético Nacional,0,0
10-02-2024,Atlético Nacional,0 - 1,Millonarios,0,0
16-02-2024,Deportivo Cali,3 - 2,Atlético Nacional,0,0
24-02-2024,La Equidad,2 - 0,Atlético Nacional,0,0
02-03-2024,Junior,0 - 0,Atlético Nacional,0,0
09-03-2024,Atlético Nacional,0 - 0,Atlético Bucaramanga,0,0
15-03-2024,Boyacá Chicó,2 - 1,Atlético Nacional,0,0
23-03-2024,Atlético Nacional,1 - 0,Deportivo Pasto,0,0
26-03-2024,Atlético Nacional,2 - 0,Jaguares de Córdoba,0,0
29-03-2024,Envigado,0 - 1,Atlético Nacional,0,0
04-04-2024,Atlético Nacional,1 - 2,Fortaleza CEIF,0,0
12-04-2024,Santa Fe,0 - 0,Atlético Nacional,0,0
17-04-2024,Atlético Nacional,0 - 1,Deportivo Pereira,0,0
20-04-2024,Independiente Medellín,2 - 2,Atlético Nacional,0,0
27-04-2024,Atlético Nacional,3 - 1,Deportes Tolima,0,0
17-07-2024,Alianza Petrolera,0 - 2,Atlético Nacional,0,0
20-07-2024,Atlético Nacional,2 - 1,América de Cali,0,0
24-07-2024,Millonarios,1 - 2,Atlético Nacional,2,0
26-07-2024,Once Caldas,2 - 0,Atlético Nacional,0,0
30-07-2024,Atlético Nacional,0 - 1,La Equidad,0,0
05-08-2024,Atlético Nacional,1 - 1,Rionegro Águilas,0,0
09-08-2024,Atlético Nacional,3 - 1,Patriotas Boyacá,0,0
30-08-2024,Jaguares de Córdoba,0 - 2,Atlético Nacional,0,0
23-09-2024,Atlético Bucaramanga,1 - 0,Atlético Nacional,0,0
28-09-2024,Atlético Nacional,6 - 2,Boyacá Chicó,0,0
04-10-2024,Deportivo Pasto,1 - 2,Atlético Nacional,0,0
09-10-2024,Atlético Nacional,1 - 1,Deportivo Cali,0,0
14-10-2024,Atlético Nacional,2 - 1,Envigado,0,0
26-10-2024,Fortaleza CEIF,0 - 1,Atlético Nacional,0,0
04-11-2024,Atlético Nacional,1 - 1,Santa Fe,0,0
07-11-2024,Deportivo Pereira,1 - 1,Atlético Nacional,0,0
10-11-2024,Atlético Nacional,1 - 1,Independiente Medellín,0,0
14-11-2024,Deportes Tolima,1 - 0,Atlético Nacional,0,0
