Fecha,Local,Visitante,Marcador,Goles Local,Goles Visitante,Tarjetas Rojas Local,Tarjetas Rojas Visitante,Resultado Local,Resultado Visitante
07-11-2023,Envigado,Deportivo Pasto,1 - 1,1,1,0,0,Empate,Empate
28-01-2023,Deportivo Pereira,Millonarios,2 - 3,2,3,0,0,Derrota,Victoria
02-02-2023,Deportivo Pereira,Huila,2 - 1,2,1,0,0,Victoria,Derrota
11-02-2023,Chico,Deportivo Pereira,3 - 1,3,1,0,0,Victoria,Derrota
18-02-2023,Deportivo Pereira,Once Caldas,3 - 1,3,1,0,0,Victoria,Derrota
25-02-2023,Jaguares,Deportivo Pereira,2 - 0,2,0,0,0,Victoria,Derrota
28-02-2023,Deportivo Cali,Deportivo Pereira,0 - 1,0,1,0,0,Derrota,Victoria
05-03-2023,Deportivo Pereira,Deportes Tolima,1 - 1,1,1,0,0,Empate,Empate
11-03-2023,Rionegro Aguilas,Deportivo Pereira,2 - 1,2,1,0,0,Victoria,Derrota
17-03-2023,Deportivo Pereira,Atletico Nacional,0 - 2,0,2,0,0,Derrota,Victoria
24-03-2023,Once Caldas,Deportivo Pereira,1 - 1,1,1,0,0,Empate,Empate
30-03-2023,Deportivo Pasto,Deportivo Pereira,0 - 0,0,0,0,0,Empate,Empate
08-04-2023,Deportivo Pereira,Bucaramanga,1 - 1,1,1,0,0,Empate,Empate
11-04-2023,Union Magdalena,Deportivo Pereira,0 - 3,0,3,0,0,Derrota,Victoria
15-04-2023,Deportivo Pereira,Santa Fe,2 - 2,2,2,0,0,Empate,Empate
24-04-2023,America de Cali,Deportivo Pereira,2 - 1,2,1,0,0,Victoria,Derrota
26-04-2023,Deportivo Pereira,Envigado,0 - 0,0,0,0,0,Empate,Empate
29-04-2023,La Equidad,Deportivo Pereira,2 - 0,2,0,0,0,Victoria,Derrota
06-05-2023,Deportivo Pereira,Independiente Medellin,3 - 1,3,1,0,0,Victoria,Derrota
13-05-2023,Junior,Deportivo Pereira,0 - 0,0,0,0,0,Empate,Empate
17-05-2023,Deportivo Pereira,Alianza Petrolera,2 - 1,2,1,0,0,Victoria,Derrota
17-07-2023,Deportivo Pereira,Deportivo Cali,0 - 2,0,2,0,0,Derrota,Victoria
22-07-2023,Millonarios,Deportivo Pereira,0 - 0,0,0,0,0,Empate,Empate
30-07-2023,Huila,Deportivo Pereira,2 - 0,2,0,0,0,Victoria,Derrota
04-08-2023,Deportivo Pereira,Chico,1 - 1,1,1,0,0,Empate,Empate
12-08-2023,Once Caldas,Deportivo Pereira,1 - 0,1,0,0,0,Victoria,Derrota
18-08-2023,Deportivo Pereira,Jaguares,3 - 0,3,0,0,0,Victoria,Derrota
02-09-2023,Atletico Nacional,Deportivo Pereira,2 - 0,2,0,0,0,Victoria,Derrota
