id_propiedad,zona,piso,estrato,precio_millones,area_construida,parqueaderos,banios,habitaciones,tipo_vivienda,barrio,longitud,latitud,id_comentarios
4083,zona sur,3,6,270.0,95.0,2,3,4,apartamento,el ingenio,-7652966.0,338.173,2
4084,zona sur,4,4,245.0,72.0,1,2,3,apartamento,la hacienda,-7652966.0,340.062,19
4085,zona sur,2,6,1200.0,1000.0,3,5,4,casa,pance,-7652967.0,334.324,26
4086,zona sur,2,6,1450.0,462.0,4,5,4,casa,pance,-7652967.0,334.324,22
4087,zona norte,2,5,450.0,250.0,5,4,5,casa,el bosque,-7652967.0,348.711,20
4088,zona sur,4,4,150.0,47.0,1,1,2,apartamento,zona sur,-7652967.0,334.324,4
4089,zona sur,4,6,540.0,134.0,2,4,3,apartamento,parcelaciones pance,-7652967.0,334.324,20
4090,zona sur,1,6,320.0,70.0,2,1,1,apartamento,pance,-7652967.0,334.324,26
4091,zona sur,4,6,640.0,136.0,2,4,3,apartamento,ciudad jardín,-7652967.0,334.324,22
4092,zona sur,4,5,325.0,99.0,1,2,3,apartamento,la hacienda,-7652969.0,339.922,23
4093,zona norte,2,6,480.0,219.0,2,3,4,casa,santa monica,-7652973.0,346.836,2
4094,zona oriente,3,3,240.0,218.0,1,3,6,casa,la independencia,-7652973.0,341.694,26
4095,zona norte,4,4,700.0,550.0,3,6,0,casa,acopi,-7652975.0,338.887,30
4096,zona norte,4,5,260.0,85.0,1,2,2,apartamento,versalles,-7652975.0,346.147,11
4097,zona sur,4,4,330.0,167.0,1,3,4,casa,colseguros,-7652977.0,343.146,8
4098,zona sur,5,3,128.0,64.0,1,1,3,apartamento,el dorado,-7652977.0,342.011,7
4099,zona sur,5,3,130.0,64.0,1,2,3,apartamento,el dorado,-7652977.0,342.011,22
4100,zona sur,4,3,135.0,70.0,1,2,3,apartamento,zona sur,-7652978.0,341.815,19
4101,zona sur,3,5,360.0,100.0,2,3,3,apartamento,la hacienda,-7652979.0,339.429,31
4102,zona sur,4,5,900.0,300.0,2,5,4,casa,la hacienda,-7652982.0,339.605,25
4103,zona sur,2,5,280.0,79.0,1,2,3,apartamento,la hacienda,-7652982.0,339.643,13
4104,zona sur,3,5,390.0,125.0,2,3,3,casa,la hacienda,-7652983.0,339.335,7
4105,zona sur,5,6,600.0,148.0,2,5,4,apartamento,pance,-7652983.0,334.605,20
4106,zona sur,5,3,145.0,65.0,1,2,3,apartamento,las granjas,-7652983.0,340.757,5
4107,zona sur,3,5,260.0,55.0,2,1,1,apartamento,pance,-7652984.0,334.303,26
4108,zona sur,4,5,320.0,181.0,2,3,4,apartamento,el ingenio,-7652984.0,338.359,20
4109,zona sur,4,5,228.0,70.0,1,2,3,apartamento,la hacienda,-7652985.0,339.293,5
4110,zona sur,5,6,600.0,148.0,3,5,3,apartamento,pance,-7652986.0,334.791,30
4111,zona sur,2,5,700.0,250.0,2,7,7,casa,el ingenio,-7652987.0,338.299,6
4112,zona norte,4,5,445.0,47.0,1,1,1,apartamento,chipichape,-7652988.0,347.623,30
4113,zona sur,2,6,270.0,160.0,2,4,3,casa,el ingenio,-7652988.0,338.385,9
4114,zona sur,3,4,185.0,64.0,1,2,3,apartamento,zona sur,-7652989.0,340.476,4
4115,zona sur,2,5,290.0,80.0,1,2,3,apartamento,la hacienda,-7652989.0,339.641,9
4116,zona norte,2,4,810.0,260.0,3,4,5,casa,san vicente,-7652991.0,346.756,3
4117,zona sur,2,6,1450.0,280.0,4,5,4,casa,pance,-7652991.0,335.578,22
4118,zona norte,4,5,620.0,450.0,3,3,0,casa,acopi,-7652991.0,338.927,15
4119,zona sur,4,3,149.0,68.0,1,2,3,apartamento,zona sur,-7652991.0,341.841,23
4120,zona norte,8,5,260.0,115.0,1,2,2,apartamento,versalles,-7652991.0,346.277,20
4121,zona sur,8,6,335.0,94.5,1,2,3,apartamento,ciudad jardín,-7652991.0,336.572,24
4122,zona sur,1,6,490.0,145.0,2,4,4,apartamento,ciudad jardín,-7652991.0,334.717,33
4123,zona sur,7,5,270.0,92.0,1,2,3,apartamento,el refugio,-7652994.0,34.137,30
4124,zona sur,5,6,520.0,140.0,2,3,3,apartamento,pance,-7652995.0,333.832,16
4125,zona sur,4,5,375.0,96.0,2,3,2,apartamento,el ingenio,-7652996.0,33.857,30
4126,zona centro,2,3,155.0,90.0,1,4,3,apartamento,junin,-7652997.0,34.351,17
4127,zona sur,2,5,480.0,200.0,3,4,4,casa,la hacienda,-7652998.0,339.533,7
4128,zona sur,4,5,390.0,125.0,2,3,3,casa,la hacienda,-7652998.0,339.363,8
4129,zona sur,2,6,830.0,280.0,4,5,4,casa,zona sur,-7652999.0,33.625,6
4130,zona sur,4,6,1500.0,1100.0,2,5,4,casa,pance,-7652999.0,333.915,29
4131,zona norte,5,6,580.0,140.0,3,3,3,apartamento,santa monica,-7652999.0,347.564,13
4132,zona sur,4,4,168.0,60.0,1,2,3,apartamento,el limonar,-7652999.0,340.266,34
4133,zona sur,12,6,760.0,200.0,2,2,3,apartamento,ciudad jardín,-7652999.0,33.655,13
4134,zona sur,4,4,330.0,180.0,2,4,4,casa,valle del lili,-7653.0,3385.0,2
4135,zona norte,2,5,600.0,304.0,2,5,5,casa,santa mónica residencial,-7653.0,3471.0,7
4136,zona centro,3,3,180.0,156.0,1,1,4,casa,san bosco,-7653.0,3448.0,34
4137,zona sur,3,5,380.0,140.0,2,3,3,casa,prados del limonar,-7653.0,3391.0,25
4138,zona sur,3,5,650.0,320.0,1,4,6,casa,prados del limonar,-7653.0,3.39,16
4139,zona sur,4,6,1200.0,420.0,3,6,4,casa,pance,-7653.0,3366.0,1
4140,zona sur,2,6,1200.0,360.0,10,6,4,casa,pance,-7653.0,3335.0,1
4141,zona sur,2,5,680.0,500.0,4,6,4,casa,el ingenio ii,-7653.0,3383.0,23
4142,zona sur,4,6,1000.0,550.0,6,6,6,casa,el ingenio ii,-7653.0,3382.0,8
4143,zona sur,3,5,650.0,264.0,2,5,4,casa,el ingenio,-7653.0,3381.0,33
4144,zona sur,3,5,1250.0,551.0,1,7,5,casa,el ingenio ii,-7653.0,3385.0,23
4145,zona sur,1,5,580.0,280.0,2,4,3,casa,el ingenio iii,-7653.0,3385.0,17
4146,zona sur,4,5,325.0,85.0,1,3,3,casa,la hacienda,-7653.0,3393.0,23
4147,zona sur,4,5,350.0,87.0,2,4,3,casa,la hacienda,-7653.0,3393.0,10
4148,zona sur,4,5,350.0,110.0,1,3,3,casa,la hacienda,-7653.0,3393.0,18
4149,zona norte,2,5,535.0,490.0,1,4,6,casa,la flora,-7653.0,3448.0,34
4150,zona sur,4,4,560.0,230.0,1,3,5,casa,colseguros andes,-7653.0,3431.0,26
4151,zona sur,4,6,880.0,300.0,2,5,3,casa,ciudad jardín,-7653.0,3354.0,33
4152,zona sur,4,6,1500.0,367.0,4,4,4,casa,ciudad jardin,-7653.0,3362.0,13
4153,zona sur,4,6,850.0,300.0,4,4,4,casa,ciudad jardín,-7653.0,3442.0,23
4154,zona sur,2,6,1850.0,600.0,6,7,6,casa,cañasgordas,-7653.0,3358.0,21
4155,zona norte,5,5,300.0,115.0,1,2,3,apartamento,versalles,-7653.0,3462.0,6
4156,zona norte,4,5,360.0,230.0,2,3,3,apartamento,versalles,-7653.0,3462.0,9
