piso,piso,piso,estrato,preciom,areaconst,parquea,banios,habitac,tipo,barrio,longitud,latitud,Id Comentarios
7650,Zona Sur,4,4,165,55,NA,1,3,Apartamento,el refugio,-76551,3398,15
7651,Zona Sur,3,4,260,80,1,2,2,Apartamento,el refugio,-76551,3.4,22
7652,Zona Sur,8,4,495,237,2,4,3,Apartamento,el refugio,-76551,3399,24
7653,Zona Sur,NA,3,110,49,NA,1,3,Apartamento,mel√©ndez,-76551,3372,5
7654,Zona Sur,NA,3,120,57,NA,2,3,Apartamento,mel√©ndez,-76551,3372,21
7655,Zona Sur,4,4,90,53,NA,1,3,Apartamento,mel√©ndez,-76551,3372,31
7656,Zona Sur,NA,3,110,44,NA,2,2,Apartamento,el jordán,-76551,3372,24
7657,Zona Sur,6,5,260,84,2,2,2,Apartamento,guadalupe,-76551,3.41,14
7658,Zona Sur,6,5,520,320,2,4,4,Apartamento,cuarto de legua,-76551,3409,21
7659,Zona Oeste,2,5,425,117,2,3,3,Apartamento,cristales,-76551,3429,30
7660,Zona Oeste,NA,6,460,130,2,2,2,Apartamento,cristales,-76551,3436,1
7661,Zona Oeste,NA,5,400,104,2,3,4,Apartamento,cristales,-76551,3.43,15
7662,Zona Oeste,3,6,365,103,2,2,3,Apartamento,cristales,-76551,3431,2
7663,Zona Oeste,NA,6,1000,236,3,4,3,Apartamento,aguacatal,-76551,3457,26
7330,Zona Oeste,2,5,450,280,1,3,4,Casa,santa rita,-76549,3449,23
7331,Zona Sur,NA,5,380,144,1,0,3,Casa,pampalinda,-76549,3406,20
7332,Zona Oeste,NA,6,780,400,NA,0,0,Casa,los cristales,-76549,3451,16
7333,Zona Sur,NA,3,1300,600,NA,10,10,Casa,el lido,-76549,3423,22
7334,Zona Sur,NA,5,750,270,NA,4,3,Casa,cuarto de legua,-76549,3409,22
7335,Zona Oeste,NA,6,1650,470,2,3,3,Casa,cristales,-76549,3.44,2
7336,Zona Oeste,NA,5,430,140,1,3,3,Apartamento,santa teresita,-76549,3449,8
7337,Zona Oeste,1,6,780,160,2,3,3,Apartamento,santa teresita,-76549,3448,6
7338,Zona Oeste,7,6,790,192,2,5,3,Apartamento,santa teresita,-76549,3455,4
7339,Zona Oeste,NA,6,685,144,2,3,3,Apartamento,santa teresita,-76549,3451,9
7340,Zona Oeste,NA,6,1000,320,3,4,3,Apartamento,santa rita,-76549,3455,13
7341,Zona Oeste,12,6,1100,387,4,5,4,Apartamento,santa rita,-76549,3454,22
7342,Zona Oeste,7,5,780,140,2,3,3,Apartamento,santa isabel,-76549,342.942,23
7343,Zona Oeste,3,5,450,115,2,3,3,Apartamento,santa isabel,-76549,3429,12
7344,Zona Sur,NA,5,300,90,1,3,4,Apartamento,santa isabel,-76549,3428,13
7345,Zona Sur,NA,3,510,200,2,5,5,Apartamento,san fernando,-76549,3428,33
7346,Zona Sur,9,6,1350,212,3,5,3,Apartamento,pance,-76549,3343,4
7347,Zona Oeste,5,6,1000,264,3,3,3,Apartamento,normandía,-76549,3452,2
7348,Zona Sur,NA,3,125,56,NA,2,3,Apartamento,mel√©ndez,-76549,3377,18
7349,Zona Sur,1,3,165,65,1,2,3,Apartamento,mel√©ndez,-76549,3396,5
7350,Zona Oeste,3,5,480,180,2,4,3,Apartamento,los cristales,-76549,3442,17
7351,Zona Norte,NA,4,145,55,1,2,2,Apartamento,el lido,-76549,3418,30
7352,Zona Sur,NA,5,185,81,1,2,3,Apartamento,cuarto de legua,-76549,3408,9
7353,Zona Oeste,3,6,165,63,NA,1,2,Apartamento,cristales,-76549,3452,27
7354,Zona Oeste,NA,6,1090,284,4,5,4,Apartamento,cristales,-76549,3434,14
7355,Zona Oeste,NA,5,1385,277,3,3,4,Apartamento,cristales,-76549,3.44,9
7356,Zona Oeste,NA,6,330,76,1,2,2,Apartamento,cristales,-76549,3.44,2
7357,Zona Oeste,NA,6,425,104,2,4,3,Apartamento,cristales,-76549,3432,21
7358,Zona Oeste,1,5,520,88,2,3,2,Apartamento,cristales,-76549,3429,20
7359,Zona Oeste,2,6,240,103,1,2,3,Apartamento,cristales,-76549,3452,34
7360,Zona Oeste,6,6,630,166,2,2,2,Apartamento,cristales,-76549,3433,3
7361,Zona Oeste,6,6,1100,313,4,4,3,Apartamento,cristales,-76549,3436,24
7362,Zona Oeste,6,5,320,130,1,3,3,Apartamento,centenario,-76549,3387,25
7363,Zona Oeste,NA,6,750,318,2,5,3,Apartamento,bosques de alboleda,-76549,3451,7
7364,Zona Sur,NA,4,230,65,1,2,3,Apartamento,bochalema,-76549,3418,25
7365,Zona Sur,NA,4,270,89,1,2,3,Apartamento,bochalema,-76549,3422,13
7366,Zona Oeste,NA,6,1800,235,4,3,2,Apartamento,la arboleda,-76549,3448,15
7367,Zona Oeste,NA,6,1700,373,4,4,2,Apartamento,arboleda,-76549,3448,22
7368,Zona Oeste,10,6,680,164,2,4,3,Apartamento,aguacatal,-76549,3455,31
7369,Zona Oeste,3,6,750,179,2,4,3,Apartamento,aguacatal,-76549,3455,2
7370,Zona Oeste,NA,6,685,186,2,5,3,Apartamento,aguacatal,-76549,3447,29
7148,Zona Oeste,NA,6,1590,530,6,4,3,Casa,tejares cristales,-76548,3437,2
7149,Zona Sur,4,4,420,250,2,4,6,Casa,santa isabel,-76548,3426,2
7150,Zona Sur,3,4,650,460,1,3,8,Casa,el refugio,-76548,3.4,8
7151,Zona Sur,1,6,1400,619,5,7,5,Casa,pance,-76548,3337,9
7152,Zona Sur,2,6,1150,700,6,6,6,Casa,pance,-76548,3338,28
7153,Zona Sur,NA,6,1200,650,6,6,6,Casa,pance,-76548,3337,26
7154,Zona Sur,NA,5,600,328,1,5,6,Casa,el gran limonar,-76548,3383,10
7155,Zona Oeste,2,6,700,295,2,4,4,Casa,cristales,-76548,3441,11
7156,Zona Oeste,2,6,720,292,2,3,4,Casa,cristales,-76548,3.44,3
7157,Zona Oeste,4,6,790,400,2,5,3,Casa,cristales,-76548,3448,26
7158,Zona Sur,NA,6,550,133,2,3,3,Casa,ciudad jardín,-76548,3416,16
7159,Zona Oeste,NA,5,680,240,2,5,3,Casa,bellavista,-76548,3448,22
7160,Zona Oeste,2,6,1200,435,2,4,4,Casa,bellavista,-76548,3446,13
7161,Zona Sur,4,4,230,91,1,3,3,Apartamento,tequendama,-76548,3408,11
7162,Zona Sur,4,6,850,222,2,3,3,Apartamento,santa teresita,-76548,3453,10
7163,Zona Oeste,1,6,330,160,1,3,2,Apartamento,santa teresita,-76548,3455,2
7164,Zona Oeste,NA,6,580,217,2,5,4,Apartamento,santa teresita,-76548,3452,18
7165,Zona Oeste,NA,6,650,240,3,3,4,Apartamento,santa teresita,-76548,3446,14
7166,Zona Oeste,NA,6,950,326,3,4,3,Apartamento,santa teresita,-76548,3446,29
7167,Zona Oeste,NA,5,950,326,3,4,3,Apartamento,santa teresita,-76548,3446,4
7168,Zona Oeste,11,5,1090,367,2,6,5,Apartamento,santa teresita,-76548,3452,11
